CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município e Ano/mês compet.
Período:2024
"Município";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez"
"150750 SAO JOAO DO ARAGUAIA";19;19;19;19;19;19;19;19;19;19;19;19
"150760 SAO MIGUEL DO GUAMA";66;66;66;61;66;66;66;66;66;66;66;66
"150770 SAO SEBASTIAO DA BOA VISTA";32;32;32;32;32;32;32;32;32;32;32;32
"150775 SAPUCAIA";14;14;14;14;14;14;14;14;14;14;14;14
"150780 SENADOR JOSE PORFIRIO";14;14;14;14;14;14;14;14;14;14;14;14
"150790 SOURE";48;48;48;48;48;48;48;48;48;48;48;48
"150795 TAILANDIA";40;40;40;40;40;40;40;40;40;40;40;40
"150797 TERRA SANTA";26;26;26;26;26;26;26;26;26;26;26;26
"150800 TOME-ACU";87;87;87;87;87;87;87;87;87;87;87;87
"150803 TRACUATEUA";15;15;15;15;15;15;15;15;15;15;15;15
"150805 TRAIRAO";21;21;21;21;21;21;21;21;21;21;21;21
"150808 TUCUMA";99;99;99;99;99;99;99;99;99;99;99;99
"150810 TUCURUI";279;279;279;279;279;279;306;306;306;306;306;306
"150812 ULIANOPOLIS";100;100;100;100;99;92;92;92;92;92;92;92
"150815 URUARA";81;81;81;81;81;81;81;81;81;81;81;81
"150820 VIGIA";37;37;37;37;37;37;37;37;37;37;37;37
"150830 VISEU";65;65;65;65;65;65;65;65;65;65;65;65
"150835 VITORIA DO XINGU";42;42;42;42;42;42;42;42;42;42;42;42
"150840 XINGUARA";119;119;119;119;125;125;125;125;125;125;125;125
"160005 SERRA DO NAVIO";30;30;30;30;30;30;30;30;30;30;30;30
"160010 AMAPA";37;37;37;37;37;37;37;37;37;37;37;37
"160015 PEDRA BRANCA DO AMAPARI";16;16;16;16;16;16;16;16;16;16;16;16
"160020 CALCOENE";20;20;20;20;20;20;20;20;20;20;20;20
"160023 FERREIRA GOMES";13;13;13;13;13;13;13;13;13;13;13;13
"160027 LARANJAL DO JARI";73;73;73;73;73;73;73;73;73;73;73;74
"160030 MACAPA";1041;1123;1132;1163;1172;1178;1127;1138;1111;1112;1156;1201
"160040 MAZAGAO";14;14;14;14;14;14;14;14;14;14;14;14
"160050 OIAPOQUE";51;51;51;51;51;51;51;51;51;51;51;51
"160053 PORTO GRANDE";34;34;34;34;34;34;34;34;18;18;18;18
"160060 SANTANA";137;137;137;137;137;137;137;137;167;167;167;167
"160070 TARTARUGALZINHO";18;18;18;18;18;18;18;18;18;18;18;18
"160080 VITORIA DO JARI";8;8;8;8;8;8;8;8;8;8;8;8
"170070 ALVORADA";32;32;32;32;32;32;32;33;34;34;34;34
"170100 ANANAS";20;20;20;20;20;20;20;20;20;20;20;20
"170190 ARAGUACEMA";17;17;17;17;17;17;17;17;17;17;17;17
"170200 ARAGUACU";31;31;31;31;31;31;31;31;31;31;31;31
"170210 ARAGUAINA";598;598;598;598;598;598;598;598;598;598;598;598
"170220 ARAGUATINS";25;25;25;25;25;25;25;25;25;25;25;25
"170230 ARAPOEMA";28;28;28;28;28;28;28;28;28;28;28;28
"170240 ARRAIAS";50;50;50;50;50;50;50;50;50;50;50;51
"170255 AUGUSTINOPOLIS";80;80;80;80;80;80;80;79;79;79;79;79
"170305 BANDEIRANTES DO TOCANTINS";3;3;3;3;3;3;3;3;3;3;3;3
"170370 BREJINHO DE NAZARE";5;5;5;5;5;5;5;5;5;5;5;5
"170550 COLINAS DO TOCANTINS";69;69;69;69;69;69;69;69;69;69;69;69
"170610 CRISTALANDIA";27;27;27;27;27;27;27;27;27;27;27;27
"170700 DIANOPOLIS";39;45;45;45;45;45;45;45;45;45;45;45
"170710 DIVINOPOLIS DO TOCANTINS";31;31;31;31;31;31;31;31;31;31;31;31
"170730 DUERE";14;14;14;14;14;14;14;14;14;14;14;14
"170765 FIGUEIROPOLIS";5;5;5;5;5;5;5;5;5;5;5;5
"170770 FILADELFIA";5;5;5;5;5;5;5;5;5;5;5;5
"170820 FORMOSO DO ARAGUAIA";19;19;19;19;19;19;19;19;19;19;19;19
"170900 GOIATINS";16;16;16;16;16;16;16;16;16;16;16;16
"170930 GUARAI";62;62;62;62;62;62;62;62;62;62;62;62
"170950 GURUPI";248;248;248;248;248;248;248;248;248;248;248;248
"171050 ITACAJA";27;27;27;27;27;27;27;27;27;27;27;27
"171190 LAGOA DA CONFUSAO";30;30;30;30;30;30;30;30;30;30;30;30
"171250 MARIANOPOLIS DO TOCANTINS";25;25;25;25;25;25;25;25;25;25;25;25
"171320 MIRACEMA DO TOCANTINS";72;72;72;72;72;72;72;72;73;73;73;73
"171330 MIRANORTE";20;20;20;20;20;20;20;20;20;20;20;20
"171360 MONTE DO CARMO";15;15;15;15;15;15;15;15;15;15;15;15
"171420 NATIVIDADE";13;13;13;13;13;13;13;13;13;13;13;13
"171575 PALMEIROPOLIS";32;32;32;32;32;32;32;32;32;32;32;32
"171610 PARAISO DO TOCANTINS";104;104;104;103;129;129;129;129;129;129;129;129
"171620 PARANA";24;24;24;24;24;24;24;24;24;24;24;24
"171650 PEDRO AFONSO";31;31;31;31;31;31;31;31;31;31;31;31
"171660 PEIXE";27;27;27;27;27;27;27;27;27;27;27;27
"171670 COLMEIA";21;21;21;21;21;21;21;21;21;21;21;21
"171700 PINDORAMA DO TOCANTINS";15;15;15;15;14;15;15;15;15;15;15;15
"171750 PIUM";21;21;21;21;21;21;21;21;21;21;21;21
"171780 PONTE ALTA DO BOM JESUS";2;2;2;2;2;2;2;2;2;2;2;2
"171790 PONTE ALTA DO TOCANTINS";7;7;7;7;7;7;7;7;7;7;7;7
"171820 PORTO NACIONAL";154;154;154;154;154;154;154;154;154;154;154;154
"172065 SILVANOPOLIS";14;14;14;14;14;14;14;14;14;14;14;14
"172080 SITIO NOVO DO TOCANTINS";20;20;20;20;20;20;20;20;20;20;20;20
"172090 TAGUATINGA";24;24;24;24;24;24;24;24;24;24;24;24
"172100 PALMAS";1045;1045;1045;1046;1046;1037;1037;1037;1037;1039;1083;1087
"172120 TOCANTINOPOLIS";38;38;38;38;38;38;38;38;38;38;38;38
"172210 XAMBIOA";31;31;31;31;31;31;31;38;38;38;38;38
"210005 ACAILANDIA";257;257;257;257;257;257;257;257;257;257;257;257
"210010 AFONSO CUNHA";24;24;24;24;24;24;24;24;24;24;24;24
"210020 ALCANTARA";20;20;20;20;20;20;20;20;20;20;20;20
"210030 ALDEIAS ALTAS";24;24;24;24;24;24;24;24;24;24;24;24
"210043 ALTO ALEGRE DO MARANHAO";50;50;50;50;50;50;50;50;50;50;50;50
"210047 ALTO ALEGRE DO PINDARE";43;43;43;43;43;43;43;43;43;43;43;43
"210050 ALTO PARNAIBA";31;31;31;31;31;31;31;31;31;31;31;31
"210055 AMAPA DO MARANHAO";11;11;11;11;11;14;14;14;14;14;14;14
"210060 AMARANTE DO MARANHAO";95;95;95;94;94;94;94;79;79;79;79;79
"210070 ANAJATUBA";27;27;27;27;27;27;27;27;27;27;27;27
"210080 ANAPURUS";16;16;16;16;16;16;16;16;16;16;16;16
"210083 APICUM-ACU";15;15;15;15;15;15;15;15;15;15;15;15
"210087 ARAGUANA";17;17;17;17;17;17;17;17;17;17;17;17
