ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
352410,202005,1372,25526.0
352420,202005,227,2608.0
352430,202005,2767,26848.0
352440,202005,6717,59442.0
352450,202005,144,1190.0
352460,202005,1025,7385.0
352470,202005,1261,22127.0
352480,202005,1208,14459.0
352490,202005,239,2937.0
352500,202005,2956,23240.0
352510,202005,1486,15550.0
352520,202005,1126,11657.0
352530,202005,2480,23858.0
352540,202005,173,913.0
352550,202005,348,1858.0
352560,202005,197,5693.0
352570,202005,469,2722.0
352580,202005,319,4506.0
352585,202005,85,2523.0
352590,202005,4928,66074.0
352600,202005,772,10002.0
352610,202005,1175,8125.0
352620,202005,2468,12486.0
352630,202005,336,1964.0
352640,202005,996,13787.0
352650,202005,162,825.0
352660,202005,470,2186.0
352670,202005,2256,19958.0
352680,202005,1346,14734.0
352690,202005,10713,161949.0
352700,202005,190,1431.0
352710,202005,1935,22805.0
352720,202005,3047,22796.0
352725,202005,107,756.0
352730,202005,1074,24086.0
352740,202005,882,12544.0
352750,202005,70,1107.0
352760,202005,532,5023.0
352770,202005,251,2702.0
352780,202005,161,1272.0
352790,202005,130,1955.0
352800,202005,332,1946.0
352810,202005,359,1895.0
352820,202005,112,946.0
352830,202005,77,180.0
352840,202005,1742,14444.0
352850,202005,3348,29093.0
352860,202005,309,4450.0
352870,202005,334,2054.0
352880,202005,600,5976.0
352885,202005,106,1576.0
352890,202005,220,2223.0
352900,202005,5973,68168.0
352910,202005,75,301.0
352920,202005,1245,7979.0
352930,202005,2182,28534.0
352940,202005,7958,68572.0
352950,202005,96,1516.0
352960,202005,129,1299.0
352965,202005,68,736.0
352970,202005,1294,17405.0
352980,202005,588,4044.0
352990,202005,1943,12263.0
353000,202005,86,260.0
353010,202005,829,5997.0
353020,202005,947,2291.0
353030,202005,1239,11622.0
353040,202005,200,2678.0
353050,202005,2086,16346.0
353060,202005,24031,298838.0
353070,202005,3182,30919.0
353080,202005,1418,17430.0
353090,202005,248,3892.0
353100,202005,53,178.0
353110,202005,3566,20325.0
353120,202005,129,1054.0
353130,202005,679,8041.0
353140,202005,1049,12334.0
353150,202005,528,5856.0
353160,202005,196,1673.0
353170,202005,201,758.0
353180,202005,4181,55147.0
353190,202005,1380,15687.0
353200,202005,335,3433.0
