ibge,anomes,bpc_ben,bpc_pcd_ben,bpc_idoso_ben,bpc_pcd_val,bpc_idoso_val,bpc_val
171360,202201,95,66,29,79992,35148,115140
171370,202201,35,20,15,24240,18180,42420
171380,202201,133,114,19,138168,23028,161196
171395,202201,42,24,18,29088,21816,50904
171420,202201,264,176,88,213312,107868,321180
171430,202201,75,61,14,73932,16968,90900
171488,202201,207,116,91,140592,110292,250884
171500,202201,65,35,30,42420,36360,78780
171510,202201,74,48,26,58176,31512,89688
171515,202201,38,31,7,37572,8484,46056
171525,202201,26,23,3,27876,3636,31512
171550,202201,15,9,6,10908,7272,18180
171570,202201,51,25,26,30300,31512,61812
171575,202201,271,179,92,216948,111504,328452
171610,202201,1761,881,880,1067772,1066560,2134332
171620,202201,144,97,47,117564,56964,174528
171630,202201,53,30,23,36360,27876,64236
171650,202201,330,227,103,275124,126048,401172
171660,202201,253,147,106,178164,128472.6,306636.6
171665,202201,78,49,29,59388,35148,94536
171670,202201,420,253,167,306636,202404,509040
171700,202201,63,55,8,67872,9696,77568
171720,202201,28,10,18,12120,21816,33936
171750,202201,105,55,50,66660,60600,127260
171780,202201,73,56,17,67872,21816,89688
171790,202201,83,68,15,82416,18180,100596
171800,202201,34,26,8,31512,9696,41208
171820,202201,2055,1190,865,1442280.72,1049592.2,2491872.92
171830,202201,34,24,10,29088,12120,41208
171840,202201,59,38,21,46056,25452,71508
171845,202201,29,19,10,23028,12120,35148
171850,202201,37,31,6,37572,7272,44844
171855,202201,75,57,18,70296,21816,92112
171865,202201,6,5,1,6060,1212,7272
171870,202201,30,18,12,21816,14544,36360
171875,202201,82,59,23,71508,27876,99384
171880,202201,36,21,15,25452,18180,43632
171884,202201,49,28,21,33936,25452,59388
171886,202201,131,59,72,71508,87264,158772
171888,202201,26,21,5,25452,6060,31512
171889,202201,12,6,6,7272,7272,14544
171890,202201,54,45,9,54540,10908,65448
171900,202201,31,22,9,26664,10908,37572
172000,202201,34,29,5,35148,6060,41208
172010,202201,56,46,10,55752,12120,67872
172015,202201,21,15,6,18180.52,7272,25452.52
172020,202201,144,91,53,110292,64236,174528
172025,202201,38,25,13,30300,15756,46056
172030,202201,44,25,19,30300,23028,53328
172049,202201,82,53,29,64236,35148,99384
172065,202201,119,78,41,94536,49692,144228
172080,202201,116,70,46,84840,55752,140592
172085,202201,30,15,15,18180,18180,36360
172090,202201,426,314,112,380568.03,135744,516312.03
172093,202201,16,13,3,15756,3636,19392
172097,202201,20,11,9,13332,10908,24240
172100,202201,5373,3028,2345,3671148.6,2844565.92,6515714.52
172110,202201,84,54,30,65448,36360,101808
172120,202201,1706,1421,285,1723464.6,345420,2068884.6
172125,202201,11,10,1,12120,1212,13332
172130,202201,24,13,11,15756,13332,29088
172208,202201,200,122,78,147864,94536,242400
172210,202201,367,184,183,224220,221796,446016
210005,202201,2944,1848,1096,2242200.09,1329567,3571767.09
210010,202201,144,89,55,107868,66660,174528
210015,202201,42,30,12,36360,14544,50904
210020,202201,360,206,154,249672,186648,436320
210030,202201,315,208,107,252096,129684,381780
210040,202201,133,109,24,132108,29088,161196
210043,202201,254,199,55,241188,66660,307848
210047,202201,498,306,192,370872,232704,603576
210050,202201,277,207,70,250884,84840,335724
210055,202201,51,43,8,52116,9696,61812
210060,202201,540,441,99,534492,119988,654480
210070,202201,433,336,97,407232,117564,524796
210080,202201,133,122,11,147864,13332,161196
210083,202201,284,142,142,172104,172104,344208
210087,202201,4,3,1,3636,1212,4848
210090,202201,433,310,123,375720,149076,524796
210095,202201,407,316,91,382992,110292,493284
210100,202201,691,546,145,662964,176952,839916
210110,202201,115,76,39,92112,47268,139380
210120,202201,4892,3866,1026,4686806.32,1243512,5930318.32
210125,202201,180,108,72,130896,87264,218160
210130,202201,451,266,185,322392,224220,546612
210135,202201,28,21,7,25452,8484,33936
210140,202201,4456,3442,1014,4174129,1228968,5403097
210150,202201,358,227,131,275124,158772,433896
210160,202201,3227,2761,466,3349968.73,564792,3914760.73
210170,202201,1192,958,234,1161096,283608,1444704
210173,202201,124,109,15,132108,18180,150288
210177,202201,328,185,143,224220,173316,397536
210180,202201,29,16,13,19392,15756,35148
210190,202201,434,291,143,352692,173316,526008
210193,202201,6,4,2,4848,2424,7272
210197,202201,70,52,18,63024,21816,84840
210200,202201,602,513,89,622968,110292,733260
210203,202201,209,148,61,179376,73932,253308
210207,202201,360,300,60,363600,72720,436320
210210,202201,717,661,56,801132,67872,869004
210215,202201,69,61,8,73932,9696,83628
210220,202201,369,314,55,380568,66660,447228
210230,202201,305,247,58,299364,70296,369660
210232,202201,1277,889,388,1077468,470256,1547724
210235,202201,180,138,42,168468,50904,219372
210237,202201,35,19,16,23028,19392,42420
210240,202201,77,65,12,78780,14544,93324
210250,202201,173,147,26,178164,31512,209676
210255,202201,360,274,86,332088,104232,436320
210260,202201,393,272,121,329664,146652,476316
210270,202201,625,425,200,515100,243612,758712
210275,202201,86,66,20,79992,24240,104232
210280,202201,1044,687,357,833856.12,433896,1267752.12
210290,202201,517,352,165,426624,199980,626604
210300,202201,4980,3206,1774,3888096.66,2151300,6039396.66
210310,202201,105,75,30,90900,36360,127260
210312,202201,115,80,35,98172,42420,140592
210315,202201,107,91,16,110292,19392,129684
210317,202201,136,104,32,126048,38784,164832
210320,202201,2294,1977,317,2399760,384204,2783964
210325,202201,142,85,57,103020.6,69084.6,172105.2
210330,202201,4301,2536,1765,3073633.16,2139180,5212813.16
210340,202201,1200,912,288,1105344,349056.6,1454400.6
210350,202201,650,536,114,649632,138168,787800
210355,202201,143,123,20,149076,24240,173316
210360,202201,2082,1473,609,1786488,739320,2525808
210370,202201,1212,613,599,742956,725988,1468944
210375,202201,187,93,94,112716,113928,226644
210380,202201,718,559,159,677508,192708,870216
210390,202201,193,164,29,198768,35148,233916
210400,202201,392,342,50,414504,60600,475104
210405,202201,1012,712,300,862944,363600,1226544
210407,202201,63,50,13,60600,15756,76356
210408,202201,38,33,5,39996,6060,46056
210409,202201,325,285,40,345420,48480,393900
210410,202201,436,342,94,415716,113928,529644
210420,202201,210,175,35,213312,42420,255732
210430,202201,52,36,16,43632,19392,63024
210440,202201,369,252,117,305424,141804,447228
210450,202201,100,82,18,99384,21816,121200
210455,202201,236,127,109,153924.6,132108,286032.6
210460,202201,299,206,93,249672,112716,362388
210462,202201,63,52,11,63024,13332,76356
210465,202201,137,109,28,132108,33936,166044
210467,202201,513,382,131,462984,158772,621756
210470,202201,46,39,7,47268,8484,55752
210480,202201,1284,923,361,1118676,437532,1556208
210490,202201,188,129,59,156348,71508,227856
210500,202201,488,304,184,369660,223008,592668
210510,202201,518,422,96,511464,116352,627816
210515,202201,346,221,125,267852,151500,419352
210520,202201,398,361,37,437532,44844,482376
210530,202201,9433,4915,4518,5960619.16,5477032.17,11437651.33
210535,202201,124,94,30,113928,36360,150288
210540,202201,1488,1005,483,1218060.8,585396,1803456.8
210542,202201,1124,571,553,692052,670237.2,1362289.2
210545,202201,19,17,2,20604,2424,23028
210547,202201,122,108,14,130896,16968,147864
210550,202201,602,431,171,522372.76,208464,730836.76
210560,202201,149,130,19,157560,23028,180588
210565,202201,20,14,6,16968,7272,24240
210570,202201,1277,1057,220,1282296.4,266640,1548936.4
210580,202201,118,101,17,122412,20604,143016
210590,202201,715,599,116,725988,140592,866580
210592,202201,41,38,3,46056,3636,49692
210594,202201,104,88,16,106656,19392,126048
210596,202201,113,97,16,117564,19392,136956
210598,202201,140,105,35,127260,42420,169680
210600,202201,303,262,41,317544,49692,367236
210610,202201,246,231,15,281184,18180,299364
210620,202201,43,26,17,31512,20604,52116
210630,202201,69,64,5,77568,6060,83628
210632,202201,982,704,278,853248,336936,1190184
210635,202201,23,20,3,24240,3636,27876
210637,202201,130,94,36,113928,43632,157560
210640,202201,572,508,64,615696,77568,693264
210650,202201,384,322,62,390264,75144,465408
210660,202201,358,281,77,340572,93324,433896
210663,202201,51,37,14,44844,16968,61812
210667,202201,94,40,54,48480,65448,113928
210670,202201,256,228,28,276336,33936,310272
210675,202201,490,274,216,332088,263004,595092
210680,202201,222,141,81,170892,98172,269064
210690,202201,60,54,6,65448,7272,72720
210700,202201,151,115,36,139380,43632,183012
210710,202201,227,144,83,174528,100596,275124
210720,202201,122,109,13,132108,15756,147864
210725,202201,58,49,9,59388,10908,70296
210730,202201,22,17,5,20604,6060,26664
210735,202201,283,209,74,253308,89688,342996
210740,202201,509,440,69,533280,83628,616908
210745,202201,147,110,37,133320,44844,178164
210750,202201,2460,1267,1193,1535604,1448340,2983944
210760,202201,248,195,53,236340,64236,300576
210770,202201,247,200,47,242400,56964,299364
210780,202201,420,324,96,392688,116352,509040
210790,202201,177,147,30,178164,36360,214524
210800,202201,168,131,37,158772,44844,203616
210805,202201,58,52,6,63024,7272,70296
210810,202201,454,370,84,448440,101808,550248
210820,202201,2013,1687,326,2048281.04,397536,2445817.04
210825,202201,150,86,64,104232,77568,181800
210830,202201,709,481,228,582972,276336,859308
210840,202201,188,136,52,164832,63024,227856
210845,202201,225,172,53,208464,64236,272700
210850,202201,717,493,224,597516,271488,869004
210860,202201,3375,1981,1394,2403396,1689528,4092924
210870,202201,408,324,84,392688,101808,494496
210880,202201,76,62,14,75144,16968,92112
210890,202201,313,272,41,329664.8,50904,380568.8
210900,202201,636,421,215,510252,260580,770832
210905,202201,60,34,26,41208,31512,72720
210910,202201,1907,1456,451,1764673.48,546612,2311285.48
