CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município
Período:Abr/2024
"Município";"Quantidade_existente"
"211223 TRIZIDELA DO VALE";27
"211227 TUFILANDIA";30
"211230 TUNTUM";55
"211240 TURIACU";48
"211245 TURILANDIA";30
"211250 TUTOIA";57
"211260 URBANO SANTOS";37
"211270 VARGEM GRANDE";45
"211280 VIANA";110
"211285 VILA NOVA DOS MARTIRIOS";31
"211290 VITORIA DO MEARIM";32
"211300 VITORINO FREIRE";48
"211400 ZE DOCA";48
"220010 AGRICOLANDIA";15
"220020 AGUA BRANCA";27
"220025 ALAGOINHA DO PIAUI";12
"220030 ALTO LONGA";14
"220040 ALTOS";37
"220050 AMARANTE";34
"220060 ANGICAL DO PIAUI";11
"220070 ANISIO DE ABREU";10
"220090 AROAZES";6
"220100 ARRAIAL";9
"220110 AVELINO LOPES";22
"220115 BAIXA GRANDE DO RIBEIRO";11
"220120 BARRAS";73
"220140 BARRO DURO";21
"220150 BATALHA";24
"220160 BENEDITINOS";15
"220170 BERTOLINIA";4
"220180 BOCAINA";21
"220190 BOM JESUS";62
"220191 BOM PRINCIPIO DO PIAUI";6
"220196 BRASILEIRA";10
"220200 BURITI DOS LOPES";42
"220202 BURITI DOS MONTES";16
"220220 CAMPO MAIOR";196
"220225 CANAVIEIRA";4
"220230 CANTO DO BURITI";27
"220240 CAPITAO DE CAMPOS";9
"220250 CARACOL";11
"220260 CASTELO DO PIAUI";38
"220270 COCAL";41
"220277 COLONIA DO PIAUI";7
"220280 CONCEICAO DO CANINDE";7
"220290 CORRENTE";52
"220300 CRISTALANDIA DO PIAUI";25
"220310 CRISTINO CASTRO";21
"220320 CURIMATA";34
"220330 DEMERVAL LOBAO";40
"220335 DIRCEU ARCOVERDE";7
"220350 ELESBAO VELOSO";29
"220360 ELISEU MARTINS";8
"220370 ESPERANTINA";73
"220380 FLORES DO PIAUI";2
"220390 FLORIANO";260
"220400 FRANCINOPOLIS";9
"220410 FRANCISCO AYRES";4
"220420 FRANCISCO SANTOS";14
"220430 FRONTEIRAS";25
"220440 GILBUES";9
"220450 GUADALUPE";34
"220470 INHUMA";11
"220480 IPIRANGA DO PIAUI";19
"220490 ISAIAS COELHO";20
"220500 ITAINOPOLIS";21
"220510 ITAUEIRA";26
"220520 JAICOS";28
"220530 JERUMENHA";7
"220540 JOAQUIM PIRES";17
"220545 JOCA MARQUES";6
"220550 JOSE DE FREITAS";24
"220553 JUREMA";13
"220555 LAGOA ALEGRE";10
"220560 LANDRI SALES";8
"220570 LUIS CORREIA";43
"220580 LUZILANDIA";50
"220585 MADEIRO";7
"220590 MANOEL EMIDIO";11
"220595 MARCOLANDIA";34
"220600 MARCOS PARENTE";8
"220610 MATIAS OLIMPIO";15
"220620 MIGUEL ALVES";22
"220640 MONSENHOR GIL";13
"220650 MONSENHOR HIPOLITO";20
"220660 MONTE ALEGRE DO PIAUI";25
"220670 NAZARE DO PIAUI";6
"220680 NOSSA SENHORA DOS REMEDIOS";9
"220690 NOVO ORIENTE DO PIAUI";8
"220700 OEIRAS";99
"220720 PADRE MARCOS";36
"220730 PAES LANDIM";9
"220740 PALMEIRA DO PIAUI";12
"220750 PALMEIRAIS";16
"220760 PARNAGUA";32
"220770 PARNAIBA";513
"220780 PAULISTANA";89
"220790 PEDRO II";84
"220800 PICOS";397
"220810 PIMENTEIRAS";16
"220820 PIO IX";35
"220830 PIRACURUCA";65
"220840 PIRIPIRI";95
"220850 PORTO";44
"220855 PORTO ALEGRE DO PIAUI";3
"220860 PRATA DO PIAUI";16
"220870 REDENCAO DO GURGUEIA";19
"220880 REGENERACAO";29
"220890 RIBEIRO GONCALVES";17
"220900 RIO GRANDE DO PIAUI";12
"220910 SANTA CRUZ DO PIAUI";11
"220920 SANTA FILOMENA";13
"220937 SANTA ROSA DO PIAUI";16
"220940 SANTO ANTONIO DE LISBOA";7
"220950 SANTO INACIO DO PIAUI";7
"220960 SAO FELIX DO PIAUI";20
"220970 SAO FRANCISCO DO PIAUI";7
"220980 SAO GONCALO DO PIAUI";12
"220990 SAO JOAO DA SERRA";12
"221000 SAO JOAO DO PIAUI";71
"221010 SAO JOSE DO PEIXE";6
"221020 SAO JOSE DO PIAUI";8
"221030 SAO JULIAO";29
"221040 SAO MIGUEL DO TAPUIO";42
"221050 SAO PEDRO DO PIAUI";41
"221060 SAO RAIMUNDO NONATO";233
"221070 SIMOES";52
"221080 SIMPLICIO MENDES";29
"221090 SOCORRO DO PIAUI";12
"221100 TERESINA";3132
"221110 UNIAO";50
"221120 URUCUI";40
"221130 VALENCA DO PIAUI";44
"221140 VARZEA GRANDE";14
"221170 WALL FERRAZ";19
"230020 ACARAU";164
"230030 ACOPIARA";94
"230040 AIUABA";34
"230060 ALTANEIRA";19
"230070 ALTO SANTO";29
"230075 AMONTADA";42
"230080 ANTONINA DO NORTE";16
"230090 APUIARES";13
"230100 AQUIRAZ";220
"230110 ARACATI";124
"230120 ARACOIABA";64
"230125 ARARENDA";29
"230130 ARARIPE";42
"230140 ARATUBA";11
"230150 ARNEIROZ";20
"230160 ASSARE";46
"230170 AURORA";114
"230180 BAIXIO";19
"230185 BANABUIU";17
"230190 BARBALHA";429
"230195 BARREIRA";21
"230200 BARRO";23
"230205 BARROQUINHA";9
"230210 BATURITE";77
"230220 BEBERIBE";60
"230230 BELA CRUZ";33
"230240 BOA VIAGEM";74
"230250 BREJO SANTO";239
"230260 CAMOCIM";96
"230270 CAMPOS SALES";48
"230280 CANINDE";132
"230290 CAPISTRANO";14
"230300 CARIDADE";21
"230310 CARIRE";31
"230320 CARIRIACU";47
"230330 CARIUS";18
"230340 CARNAUBAL";17
"230350 CASCAVEL";57
"230360 CATARINA";18
"230365 CATUNDA";20
"230370 CAUCAIA";238
"230380 CEDRO";58
"230390 CHAVAL";23
"230393 CHORO";16
"230395 CHOROZINHO";12
"230400 COREAU";14
"230410 CRATEUS";178
"230420 CRATO";350
"230423 CROATA";46
"230425 CRUZ";56
"230426 DEPUTADO IRAPUAN PINHEIRO";12
"230427 ERERE";9
"230428 EUSEBIO";106
"230430 FARIAS BRITO";41
"230435 FORQUILHA";8
